model,dataset,sample_id,reducer,question,right_answer,generated_answer,latency_s,token_score,token_pred,semantic_score,semantic_pred,llm_score,llm_pred,bert_score,bert_pred
llama3:latest,synthetic,synthetic_0002,constrained_decoding,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is chlorophyll a.,0.608,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.46839387416839595,True
llama3:latest,synthetic,synthetic_0002,self_verification,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is chlorophyll a.,3.89,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.46839387416839595,True
llama3:latest,synthetic,synthetic_0004,baseline,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to various estimates, the human brain contains approximately 86 billion neurons.",0.674,0.2791758279629102,False,0.027231574058532715,False,0.0,False,0.2181201219558716,False
llama3:latest,synthetic,synthetic_0004,rag,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to the reference passage, the human brain contains approximately 86 billion neurons.",0.766,0.2791758279629102,False,0.0405576229095459,False,0.05,False,0.37795982956886287,True
llama3:latest,synthetic,synthetic_0004,constrained_decoding,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to various estimates, the human brain contains approximately 86 billion neurons. This number is based on studies using techniques such as magnetic resonance imaging (MRI), positron emission tomography (PET) scans, and histological analysis of brain tissue. However, it's worth noting that this exact number may vary slightly depending on the source and methodology used.",2.047,0.8021025113493959,True,0.10644179582595825,False,0.05,False,0.7816931962966919,True
llama3:latest,synthetic,synthetic_0004,self_verification,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to various estimates, the human brain contains approximately 86 billion neurons. This number is based on studies using advanced imaging techniques such as magnetic resonance imaging (MRI) and positron emission tomography (PET) scans, as well as histological examinations of post-mortem brains. However, it's worth noting that this number can vary slightly depending on the source and methodology used.",4.654,0.8198647425447229,True,0.11610996723175049,False,0.05,False,0.7081897616386413,True
llama3:latest,synthetic,synthetic_0000,baseline,When was Python first released?,Python was first released in 1991.,"Python 0.1.0 (also known as ""Alpha"") was released on February 20, 1991. The first public release of Python, version 1.0, followed on January 3, 1994.",1.508,0.8557504805223402,True,0.2231501340866089,False,0.0,False,1.0683172717690468,True
llama3:latest,synthetic,synthetic_0000,rag,When was Python first released?,Python was first released in 1991.,"According to the passage, Python was first released in 1991.",0.853,0.34173352835832493,False,0.03729689121246338,False,0.05,False,0.9239095151424408,True
llama3:latest,synthetic,synthetic_0000,constrained_decoding,When was Python first released?,Python was first released in 1991.,"Python 0.9.1, the first publicly available version of Python, was released on February 20, 1991.",1.051,0.7320261359401582,True,0.14543688297271729,False,0.0,False,1.0394543632864952,True
llama3:latest,synthetic,synthetic_0000,self_verification,When was Python first released?,Python was first released in 1991.,"Python 0.9.1, also known as ""Python version 0"", was released in February 1991 by Guido van Rossum.",3.17,0.8380952312632544,True,0.1792529821395874,False,0.0,False,1.029647096991539,True
